Timestep ; SegregationEntropy
72 ; 0.7002960801076797
73 ; 0.7000871116270153
74 ; 0.7013872384589707
75 ; 0.7017392914799204
76 ; 0.7025126415387559
77 ; 0.7022280227391511
78 ; 0.7029330742263018
79 ; 0.7035265411631368
80 ; 0.7057340986141782
81 ; 0.7081700596793774
82 ; 0.7066634306850648
83 ; 0.706301267801035
84 ; 0.7046420004716794
85 ; 0.7058867863710931
86 ; 0.7070862660909205
87 ; 0.7081350204572373
88 ; 0.7105849348663699
89 ; 0.7115050620881824
90 ; 0.710739684238461
91 ; 0.710846920709924
92 ; 0.7105898142996774
93 ; 0.7130473386337648
94 ; 0.7155254523808137
95 ; 0.7172641559692792
96 ; 0.7179397716150213
97 ; 0.7175971944214384
98 ; 0.7190103533589349
99 ; 0.7193369038893114
100 ; 0.7197666741280766
101 ; 0.7211209921475618
102 ; 0.7217549126222137
103 ; 0.7205150106917524
104 ; 0.7238251057887184
105 ; 0.7244679887350212
106 ; 0.7276458632312829
107 ; 0.7266960991992533
108 ; 0.7272981490553474
109 ; 0.7290873055323306
110 ; 0.7314596470334126
111 ; 0.7316162332532764
112 ; 0.7323169443593793
113 ; 0.7318931691806125
114 ; 0.7332171708713242
115 ; 0.733924725758117
116 ; 0.7339475962654152
117 ; 0.734403604715506
118 ; 0.7359812370776049
119 ; 0.7364730967272574
120 ; 0.7345317306700543
121 ; 0.7373296557024145
122 ; 0.7369397592730825
123 ; 0.7355684647363332
124 ; 0.7346426682037022
125 ; 0.7339384514083549
126 ; 0.7353522277240859
127 ; 0.7344169037214672
128 ; 0.7352468824796394
129 ; 0.7342966291447013
130 ; 0.7348718886867548
131 ; 0.7367022978081985
132 ; 0.7362972088733599
133 ; 0.7372333097970215
134 ; 0.7378761141637072
135 ; 0.7374468044024385
136 ; 0.7410681526107108
137 ; 0.7428693670746271
138 ; 0.7424523849613657
139 ; 0.7408713642913283
140 ; 0.7404884203657143
141 ; 0.7409092695529782
142 ; 0.7412804416583713
143 ; 0.7438095321498972
144 ; 0.7460503529681913
145 ; 0.7470682930289136
146 ; 0.748402108018044
147 ; 0.7479840829746932
148 ; 0.7495734962980949
149 ; 0.7496798501593893
150 ; 0.7516013819778166
151 ; 0.7514606741295582
152 ; 0.7493668605763742
153 ; 0.7500047494390765
154 ; 0.7507013465010062
